Credito,DiffPct,DiffPts,Estrategia,Expiracion,Hora,Lado,Moneyness,P/L,Simbolo,Strikes,precio_actual,score_30min,strikes_GEX,strikes_OI,strikes_Volumen,tendencia_30min,tendencia_corta,total_neg,total_pos,Movimiento_Esperado,Punto_Gravedad,Gamma_Flip,Date
210.0,0.04,2.13,VERTICAL,02/04/2025,12:05:42,CALL,OTM,210.0,SPX,6040/6045,6035.18,-0.07,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,UP,0,4,20.45,6033.52,6020.0,2025-02-04
245.0,-0.05,-2.87,VERTICAL,02/04/2025,12:10:47,CALL,ITM P,-42.0,SPX,6035/6040,6033.62,-0.04,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,FLAT,14,10,20.28,6033.25,6015.0,2025-02-04
205.0,0.04,2.13,VERTICAL,02/04/2025,12:15:41,CALL,OTM,205.0,SPX,6040/6045,6034.75,-0.02,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,FLAT,23,19,19.84,6033.31,6015.0,2025-02-04
145.0,-0.38,-22.87,VERTICAL,02/04/2025,12:20:43,PUT,OTM,145.0,SPX,6015/6010,6023.59,0.01,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,41,20,22.94,6032.47,6005.0,2025-02-04
135.0,-0.38,-22.87,VERTICAL,02/04/2025,12:25:47,PUT,OTM,135.0,SPX,6015/6010,6024.73,0.03,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,61,20,21.83,6031.68,6005.0,2025-02-04
140.0,-0.46,-27.87,VERTICAL,02/04/2025,12:30:50,PUT,OTM,140.0,SPX,6010/6005,6018.68,0.05,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,81,20,22.16,6030.86,6000.0,2025-02-04
150.0,-0.46,-27.87,VERTICAL,02/04/2025,12:35:43,PUT,OTM,150.0,SPX,6010/6005,6017.94,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,101,20,21.94,6029.84,6000.0,2025-02-04
135.0,-0.46,-27.87,VERTICAL,02/04/2025,12:40:47,PUT,OTM,135.0,SPX,6010/6005,6020.06,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,121,20,21.22,6029.3,6005.0,2025-02-04
145.0,-0.38,-22.87,VERTICAL,02/04/2025,12:45:39,PUT,OTM,145.0,SPX,6015/6010,6022.67,0.06,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,141,20,20.12,6028.99,6005.0,2025-02-04
140.0,-0.38,-22.87,VERTICAL,02/04/2025,12:50:44,PUT,OTM,140.0,SPX,6015/6010,6024.0,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,161,20,19.95,6028.76,6005.0,2025-02-04
