Credito,DiffPct_CALL,DiffPct_PUT,DiffPts_CALL,DiffPts_PUT,Estrategia,Expiracion,Hora,Moneyness_CALL,Moneyness_PUT,P/L,Simbolo,Strikes_IC,precio_actual,score_30min,strikes_GEX,strikes_OI,strikes_Volumen,tendencia_30min,tendencia_corta,total_neg,total_pos,Date,Movimiento_Esperado,Punto_Gravedad,Gamma_Flip
26.0,0.36,1.7,2.15,10.15,IRON CONDOR,02/05/2025,10:05:43,ITM,OTM,-74.0,XSP,596/595-604/605,601.17,-0.01,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
21.0,0.19,1.53,1.15,9.15,IRON CONDOR,02/05/2025,10:10:44,ITM,OTM,-79.0,XSP,597/596-605/606,601.6,-0.01,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
20.0,0.19,1.53,1.15,9.15,IRON CONDOR,02/05/2025,10:15:46,ITM,OTM,-80.0,XSP,597/596-605/606,601.95,-0.02,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
22.0,0.19,1.36,1.15,8.15,IRON CONDOR,02/05/2025,10:20:49,ITM,OTM,-78.0,XSP,598/597-605/606,601.78,-0.02,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
22.0,0.19,1.36,1.15,8.15,IRON CONDOR,02/05/2025,10:25:39,ITM,OTM,-78.0,XSP,598/597-605/606,602.4,-0.03,"[600, 606]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
26.0,0.19,1.19,1.15,7.15,IRON CONDOR,02/05/2025,10:30:41,ITM,OTM,-74.0,XSP,599/598-605/606,602.44,-0.03,"[600, 606]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
24.0,0.19,1.19,1.15,7.15,IRON CONDOR,02/05/2025,10:35:44,ITM,OTM,-76.0,XSP,599/598-605/606,602.49,-0.03,"[600, 606]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
24.0,0.19,1.19,1.15,7.15,IRON CONDOR,02/05/2025,10:40:45,ITM,OTM,-76.0,XSP,599/598-605/606,602.85,-0.02,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
23.0,0.19,1.19,1.15,7.15,IRON CONDOR,02/05/2025,10:45:47,ITM,OTM,-77.0,XSP,599/598-605/606,602.79,-0.02,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
32.0,0.36,1.19,2.15,7.15,IRON CONDOR,02/05/2025,10:50:50,ITM,OTM,-68.0,XSP,599/598-604/605,602.31,-0.02,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
22.0,0.19,1.19,1.15,7.15,IRON CONDOR,02/05/2025,10:55:40,ITM,OTM,-78.0,XSP,599/598-605/606,602.83,-0.03,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
21.0,0.19,1.19,1.15,7.15,IRON CONDOR,02/05/2025,11:00:44,ITM,OTM,-79.0,XSP,599/598-605/606,602.57,-0.03,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
20.0,0.19,1.19,1.15,7.15,IRON CONDOR,02/05/2025,11:05:48,ITM,OTM,-80.0,XSP,599/598-605/606,602.72,-0.03,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
25.0,0.19,1.03,1.15,6.15,IRON CONDOR,02/05/2025,11:10:38,ITM,OTM,-75.0,XSP,600/599-605/606,603.27,-0.03,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
25.0,0.19,1.03,1.15,6.15,IRON CONDOR,02/05/2025,11:15:42,ITM,OTM,-75.0,XSP,600/599-605/606,603.04,-0.03,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
29.0,0.36,1.19,2.15,7.15,IRON CONDOR,02/05/2025,11:20:47,ITM,OTM,-71.0,XSP,599/598-604/605,602.37,-0.03,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
28.0,0.36,1.19,2.15,7.15,IRON CONDOR,02/05/2025,11:25:49,ITM,OTM,-72.0,XSP,599/598-604/605,602.34,-0.03,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
23.0,0.19,1.03,1.15,6.15,IRON CONDOR,02/05/2025,11:30:39,ITM,OTM,-77.0,XSP,600/599-605/606,603.13,-0.03,"[600, 606]","[600, 610]","[603, 605]",DOWN,NO DATA,0,0,2025-02-05,,,
30.0,0.19,0.86,1.15,5.15,IRON CONDOR,02/05/2025,11:35:42,ITM,OTM,-70.0,XSP,601/600-605/606,603.46,-0.02,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
28.0,0.19,0.86,1.15,5.15,IRON CONDOR,02/05/2025,11:40:44,ITM,OTM,-72.0,XSP,601/600-605/606,603.56,-0.02,"[606, 600]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2025-02-05,,,
