Credito,DiffPct_CALL,DiffPct_PUT,DiffPts_CALL,DiffPts_PUT,Estrategia,Expiracion,Hora,Moneyness_CALL,Moneyness_PUT,P/L,Simbolo,Strikes_IC,precio_actual,score_30min,strikes_GEX,strikes_OI,strikes_Volumen,tendencia_30min,tendencia_corta,total_neg,total_pos,Movimiento_Esperado,Punto_Gravedad,Gamma_Flip,Date
16.0,0.19,1.87,1.15,11.15,IRON CONDOR,02/05/2025,10:05:43,ITM,OTM,-84.0,XSP,595/594-605/606,601.17,-0.01,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,3.24,602.28,5995.0,2025-02-05
12.0,0.02,1.7,0.15,10.15,IRON CONDOR,02/05/2025,10:10:44,ITM P,OTM,-3.0,XSP,596/595-606/607,601.6,-0.01,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,3.12,601.99,6000.0,2025-02-05
12.0,0.02,1.7,0.15,10.15,IRON CONDOR,02/05/2025,10:15:46,ITM P,OTM,-3.0,XSP,596/595-606/607,601.95,-0.02,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2.97,601.86,6000.0,2025-02-05
14.0,0.02,1.53,0.15,9.15,IRON CONDOR,02/05/2025,10:20:49,ITM P,OTM,-1.0,XSP,597/596-606/607,601.78,-0.02,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2.9,601.77,6000.0,2025-02-05
13.0,0.02,1.53,0.15,9.15,IRON CONDOR,02/05/2025,10:25:39,ITM P,OTM,-2.0,XSP,597/596-606/607,602.4,-0.03,"[600, 606]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2.72,601.76,6005.0,2025-02-05
14.0,0.02,1.36,0.15,8.15,IRON CONDOR,02/05/2025,10:30:41,ITM P,OTM,-1.0,XSP,598/597-606/607,602.44,-0.03,"[600, 606]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2.65,601.83,6005.0,2025-02-05
15.0,0.02,1.36,0.15,8.15,IRON CONDOR,02/05/2025,10:35:44,ITM P,OTM,0.0,XSP,598/597-606/607,602.49,-0.03,"[600, 606]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2.59,601.86,6005.0,2025-02-05
13.0,0.02,1.36,0.15,8.15,IRON CONDOR,02/05/2025,10:40:45,ITM P,OTM,-2.0,XSP,598/597-606/607,602.85,-0.02,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2.43,601.96,6010.0,2025-02-05
12.0,0.02,1.36,0.15,8.15,IRON CONDOR,02/05/2025,10:45:47,ITM P,OTM,-3.0,XSP,598/597-606/607,602.79,-0.02,"[600, 606]","[600, 610]","[605, 603]",DOWN,NO DATA,0,0,2.38,602.04,6010.0,2025-02-05
18.0,0.19,1.36,1.15,8.15,IRON CONDOR,02/05/2025,10:50:50,ITM,OTM,-82.0,XSP,598/597-605/606,602.31,-0.02,"[600, 600]","[600, 590]","[605, 603]",DOWN,NO DATA,0,0,2.44,602.07,6005.0,2025-02-05
