Credito,DiffPct_CALL,DiffPct_PUT,DiffPts_CALL,DiffPts_PUT,Estrategia,Expiracion,Hora,Moneyness_CALL,Moneyness_PUT,P/L,Simbolo,Strikes_IC,precio_actual,score_30min,strikes_GEX,strikes_OI,strikes_Volumen,tendencia_30min,tendencia_corta,total_neg,total_pos,Movimiento_Esperado,Punto_Gravedad,Gamma_Flip,Date
133.0,0.27,1.81,6.23,41.23,IRON CONDOR,02/05/2025,10:05:42,ITM,OTM,-367.0,RUT,2275/2270-2310/2315,2294.11,0.09,"[2300.0, 2295.0]","[2300.0, 2325.0]","[2325.0, 2310.0]",UP,FLAT,71,36,15.95,2304.0,2275.0,2025-02-05
120.0,0.05,1.59,1.23,36.23,IRON CONDOR,02/05/2025,10:10:43,ITM P,OTM,-3.1,RUT,2280/2275-2315/2320,2297.89,0.09,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2310.0]",UP,FLAT,91,36,15.0,2303.51,2280.0,2025-02-05
100.0,-0.16,1.37,-3.77,31.23,IRON CONDOR,02/05/2025,10:15:45,OTM,OTM,100.0,RUT,2285/2280-2320/2325,2302.15,0.09,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2310.0]",UP,FLAT,99,44,14.99,2303.7,2285.0,2025-02-05
105.0,-0.16,1.37,-3.77,31.23,IRON CONDOR,02/05/2025,10:20:48,OTM,OTM,105.0,RUT,2285/2280-2320/2325,2303.06,0.09,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2320.0]",UP,FLAT,100,59,14.22,2304.26,2285.0,2025-02-05
115.0,-0.16,1.15,-3.77,26.23,IRON CONDOR,02/05/2025,10:25:50,OTM,OTM,115.0,RUT,2290/2285-2320/2325,2304.84,0.09,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2310.0]",UP,FLAT,101,74,13.46,2304.74,2285.0,2025-02-05
115.0,0.05,1.37,1.23,31.23,IRON CONDOR,02/05/2025,10:30:40,ITM P,OTM,-8.1,RUT,2285/2280-2315/2320,2304.14,0.1,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2320.0]",UP,FLAT,105,89,13.17,2305.04,2285.0,2025-02-05
112.0,-0.16,1.15,-3.77,26.23,IRON CONDOR,02/05/2025,10:35:43,OTM,OTM,112.0,RUT,2290/2285-2320/2325,2303.99,0.1,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2320.0]",UP,FLAT,112,102,13.23,2305.16,2285.0,2025-02-05
147.0,0.05,1.15,1.23,26.23,IRON CONDOR,02/05/2025,10:40:44,ITM P,OTM,23.9,RUT,2290/2285-2315/2320,2304.04,0.1,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2320.0]",UP,FLAT,111,103,12.76,2305.32,2285.0,2025-02-05
133.0,0.05,1.15,1.23,26.23,IRON CONDOR,02/05/2025,10:45:46,ITM P,OTM,9.9,RUT,2290/2285-2315/2320,2304.05,0.1,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2320.0]",UP,FLAT,102,115,12.18,2305.4,2285.0,2025-02-05
130.0,0.05,1.15,1.23,26.23,IRON CONDOR,02/05/2025,10:50:48,ITM P,OTM,6.9,RUT,2290/2285-2315/2320,2304.12,0.1,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2320.0]",UP,FLAT,101,120,11.78,2305.42,2285.0,2025-02-05
88.0,-0.16,1.15,-3.77,26.23,IRON CONDOR,02/05/2025,10:55:40,OTM,OTM,88.0,RUT,2290/2285-2320/2325,2305.62,0.1,"[2300.0, 2310.0]","[2300.0, 2325.0]","[2325.0, 2320.0]",UP,FLAT,89,131,11.6,2305.55,2290.0,2025-02-05
