Credito,DiffPct_CALL,DiffPct_PUT,DiffPts_CALL,DiffPts_PUT,Estrategia,Expiracion,Hora,Moneyness_CALL,Moneyness_PUT,P/L,Simbolo,Strikes_IC,precio_actual,score_30min,strikes_GEX,strikes_OI,strikes_Volumen,tendencia_30min,tendencia_corta,total_neg,total_pos,Date,Movimiento_Esperado,Punto_Gravedad,Gamma_Flip
233.0,-0.12,0.46,-7.13,27.87,IRON CONDOR,02/04/2025,12:05:42,OTM,OTM,233.0,SPX,6010/6005-6045/6050,6035.18,-0.07,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,UP,0,4,2025-02-04,,,
198.0,-0.12,0.55,-7.13,32.87,IRON CONDOR,02/04/2025,12:10:47,OTM,OTM,198.0,SPX,6005/6000-6045/6050,6033.62,-0.04,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,FLAT,14,10,2025-02-04,,,
220.0,-0.12,0.46,-7.13,27.87,IRON CONDOR,02/04/2025,12:15:41,OTM,OTM,220.0,SPX,6010/6005-6045/6050,6034.75,-0.02,"[6040.0, 6030.0]","[5950.0, 6030.0]","[6030.0, 6060.0]",DOWN,FLAT,23,19,2025-02-04,,,
195.0,-0.04,0.63,-2.13,37.87,IRON CONDOR,02/04/2025,12:20:43,OTM,OTM,195.0,SPX,6000/5995-6040/6045,6023.59,0.01,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,41,20,2025-02-04,,,
190.0,-0.04,0.63,-2.13,37.87,IRON CONDOR,02/04/2025,12:25:47,OTM,OTM,190.0,SPX,6000/5995-6040/6045,6024.73,0.03,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,61,20,2025-02-04,,,
195.0,0.05,0.72,2.87,42.87,IRON CONDOR,02/04/2025,12:30:50,ITM P,OTM,-92.0,SPX,5995/5990-6035/6040,6018.68,0.05,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,81,20,2025-02-04,,,
190.0,0.05,0.72,2.87,42.87,IRON CONDOR,02/04/2025,12:35:43,ITM P,OTM,-97.0,SPX,5995/5990-6035/6040,6017.94,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,101,20,2025-02-04,,,
200.0,0.05,0.63,2.87,37.87,IRON CONDOR,02/04/2025,12:40:47,ITM P,OTM,-87.0,SPX,6000/5995-6035/6040,6020.06,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,121,20,2025-02-04,,,
223.0,0.05,0.55,2.87,32.87,IRON CONDOR,02/04/2025,12:45:39,ITM P,OTM,-64.0,SPX,6005/6000-6035/6040,6022.67,0.06,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,141,20,2025-02-04,,,
190.0,-0.04,0.55,-2.13,32.87,IRON CONDOR,02/04/2025,12:50:44,OTM,OTM,190.0,SPX,6005/6000-6040/6045,6024.0,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,161,20,2025-02-04,,,
180.0,-0.04,0.55,-2.13,32.87,IRON CONDOR,02/04/2025,12:55:49,OTM,OTM,180.0,SPX,6005/6000-6040/6045,6024.93,0.06,"[6030.0, 6040.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,178,22,2025-02-04,,,
222.0,-0.04,0.38,-2.13,22.87,IRON CONDOR,02/04/2025,13:00:45,OTM,OTM,222.0,SPX,6015/6010-6040/6045,6029.15,0.06,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,186,33,2025-02-04,,,
207.0,0.05,0.55,2.87,32.87,IRON CONDOR,02/04/2025,13:05:49,ITM P,OTM,-80.0,SPX,6005/6000-6035/6040,6021.46,0.06,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,188,45,2025-02-04,,,
225.0,0.05,0.46,2.87,27.87,IRON CONDOR,02/04/2025,13:10:45,ITM P,OTM,-62.0,SPX,6010/6005-6035/6040,6023.54,0.07,"[6030.0, 6035.0]","[5950.0, 5900.0]","[6030.0, 6000.0]",UP,FLAT,194,39,2025-02-04,,,
260.0,0.05,0.38,2.87,22.87,IRON CONDOR,02/04/2025,13:15:49,ITM P,OTM,-27.0,SPX,6015/6010-6035/6040,6027.24,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,194,41,2025-02-04,,,
253.0,0.05,0.38,2.87,22.87,IRON CONDOR,02/04/2025,13:20:40,ITM P,OTM,-34.0,SPX,6015/6010-6035/6040,6026.92,0.07,"[6030.0, 6035.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,176,60,2025-02-04,,,
212.0,-0.04,0.38,-2.13,22.87,IRON CONDOR,02/04/2025,13:25:43,OTM,OTM,212.0,SPX,6015/6010-6040/6045,6031.78,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6000.0, 6030.0]",UP,FLAT,152,80,2025-02-04,,,
233.0,-0.04,0.3,-2.13,17.87,IRON CONDOR,02/04/2025,13:30:47,OTM,OTM,233.0,SPX,6020/6015-6040/6045,6031.4,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6000.0, 6030.0]",UP,FLAT,132,100,2025-02-04,,,
230.0,-0.04,0.3,-2.13,17.87,IRON CONDOR,02/04/2025,13:35:40,OTM,OTM,230.0,SPX,6020/6015-6040/6045,6031.6,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6000.0, 6030.0]",UP,FLAT,116,120,2025-02-04,,,
275.0,0.05,0.3,2.87,17.87,IRON CONDOR,02/04/2025,13:40:43,ITM P,OTM,-12.0,SPX,6020/6015-6035/6040,6029.67,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,96,139,2025-02-04,,,
268.0,0.05,0.3,2.87,17.87,IRON CONDOR,02/04/2025,13:45:47,ITM P,OTM,-19.0,SPX,6020/6015-6035/6040,6029.54,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6000.0, 6030.0]",UP,FLAT,76,156,2025-02-04,,,
268.0,0.05,0.3,2.87,17.87,IRON CONDOR,02/04/2025,13:50:50,ITM P,OTM,-19.0,SPX,6020/6015-6035/6040,6031.36,0.07,"[6030.0, 6040.0]","[5950.0, 6030.0]","[6030.0, 6000.0]",UP,FLAT,56,174,2025-02-04,,,
